position,pearson_corr,jaccard_index
"([4096, 4352], [1792, 2048], [2304, 2560])",0.704107403755188,0.6422840294383952
"([4096, 4352], [2048, 2304], [2304, 2560])",0.585215151309967,0.48908024366398434
"([4096, 4352], [2304, 2560], [2304, 2560])",0.6754066944122314,0.5909919715441453
"([4096, 4352], [2816, 3072], [1792, 2048])",0.7750291228294373,0.6282790959191302
"([4096, 4352], [2560, 2816], [2304, 2560])",0.7182741761207581,0.5881341479942176
"([4096, 4352], [2816, 3072], [2048, 2304])",0.7698420882225037,0.639174377465435
"([4096, 4352], [2816, 3072], [2304, 2560])",0.704110324382782,0.5884448377492631
"([4096, 4352], [2560, 2816], [2560, 2816])",0.6968944668769836,0.5792195671336016
"([4096, 4352], [3072, 3328], [1792, 2048])",0.7653322219848633,0.6233265460629799
"([4096, 4352], [3072, 3328], [2048, 2304])",0.726563036441803,0.6002814919071077
"([4096, 4352], [3072, 3328], [2304, 2560])",0.7236659526824951,0.6080672668005095
"([4096, 4352], [3328, 3584], [2048, 2304])",0.34346505999565125,0.3925334739081597
"([4352, 4608], [768, 1024], [2304, 2560])",0.7571114897727966,0.5864262013519165
"([4352, 4608], [768, 1024], [2560, 2816])",0.4307071566581726,0.46074399223881546
"([4352, 4608], [1024, 1280], [2048, 2304])",0.8352874517440796,0.7358044703231901
"([4352, 4608], [1024, 1280], [2304, 2560])",0.8055061101913452,0.707156324436894
"([4352, 4608], [1280, 1536], [2048, 2304])",0.8460169434547424,0.7624517464187293
"([4352, 4608], [1280, 1536], [2304, 2560])",0.8563769459724426,0.7833468998736082
"([4352, 4608], [1024, 1280], [2560, 2816])",0.7870223522186279,0.6733978955842185
"([4352, 4608], [1280, 1536], [2560, 2816])",0.8331498503684998,0.7478767904233244
"([4352, 4608], [1536, 1792], [2048, 2304])",0.8133180141448975,0.7066027148384945
"([4352, 4608], [1536, 1792], [2304, 2560])",0.8249537348747253,0.7297710336213677
"([4352, 4608], [1792, 2048], [2304, 2560])",0.6849930286407471,0.5942917185140084
"([4352, 4608], [1536, 1792], [2560, 2816])",0.77631014585495,0.6880472254397069
"([4352, 4608], [1792, 2048], [2560, 2816])",0.7268618941307068,0.6276663481525426
"([4352, 4608], [2048, 2304], [2304, 2560])",0.6074286103248596,0.46061264076371555
"([4352, 4608], [2304, 2560], [2304, 2560])",0.6353355646133423,0.5293091893660752
"([4352, 4608], [2048, 2304], [2560, 2816])",0.6226183176040649,0.5249123837040127
"([4352, 4608], [2304, 2560], [2560, 2816])",0.6316940188407898,0.5165962297528361
