z,y,x
37,2560,1792
37,2816,1792
38,2560,1792
38,2816,1792
39,2560,1792
39,2816,1792
16,2560,2048
16,2816,2048
17,2560,2048
17,2816,2048
18,2560,2048
18,2816,2048
19,2560,2048
19,2816,2048
64,3072,2048
65,3072,2048
66,3072,2048
67,3072,2048
68,3072,2048
69,3072,2048
70,3072,2048
71,3072,2048
72,3072,2048
73,3072,2048
74,3072,2048
75,3072,2048
76,3072,2048
77,3072,2048
78,3072,2048
79,3072,2048
160,2048,1792
161,2048,1792
162,2048,1792
163,2048,1792
164,2048,1792
165,2048,1792
166,2048,1792
167,2048,1792
168,2816,1792
169,2816,1792
170,2816,1792
171,2816,1792
172,2816,1792
173,2816,1792
174,2816,1792
175,2816,1792
148,2560,2304
148,2816,2048
148,2816,2304
149,2560,2304
149,2816,2048
149,2816,2304
150,2560,2304
150,2816,2048
150,2816,2304
151,2560,2304
151,2816,2048
151,2816,2304
40,2304,1792
41,2304,1792
42,2304,1792
43,2304,1792
44,2304,1792
45,2304,1792
46,2304,1792
47,2304,1792
40,2560,1792
40,2816,1792
41,2560,1792
41,2816,1792
42,2560,1792
42,2816,1792
43,2560,1792
43,2816,1792
44,2560,1792
44,2816,1792
45,2560,1792
45,2816,1792
46,2560,1792
46,2816,1792
47,2560,1792
47,2816,1792
20,2560,2048
20,2816,2048
21,2560,2048
21,2816,2048
22,2560,2048
22,2816,2048
23,2560,2048
23,2816,2048
80,3072,2048
81,3072,2048
82,3072,2048
83,3072,2048
84,3072,2048
85,3072,2048
86,3072,2048
87,3072,2048
88,3072,2048
89,3072,2048
90,3072,2048
91,3072,2048
92,3072,2048
93,3072,2048
94,3072,2048
95,3072,2048
168,2048,1792
169,2048,1792
170,2048,1792
171,2048,1792
172,2048,1792
173,2048,1792
174,2048,1792
175,2048,1792
176,2816,1792
152,2560,2304
152,2816,2048
152,2816,2304
153,2816,2048
153,2816,2304
154,2816,2048
154,2816,2304
155,2816,2048
155,2816,2304
48,2304,1792
49,2304,1792
50,2304,1792
51,2304,1792
52,2304,1792
53,2304,1792
54,2304,1792
55,2304,1792
48,2560,1792
48,2816,1792
49,2560,1792
49,2816,1792
50,2560,1792
50,2816,1792
51,2560,1792
51,2816,1792
52,2560,1792
52,2816,1792
53,2560,1792
53,2816,1792
54,2560,1792
54,2816,1792
55,2560,1792
55,2816,1792
24,2560,2048
24,2816,2048
25,2560,2048
25,2816,2048
26,2560,2048
26,2816,2048
27,2560,2048
27,2816,2048
96,3072,2048
97,3072,2048
98,3072,2048
99,3072,2048
100,3072,2048
101,3072,2048
102,3072,2048
103,3072,2048
104,3072,2048
105,3072,2048
106,3072,2048
107,3072,2048
108,3072,2048
109,3072,2048
110,3072,2048
111,3072,2048
176,2048,1792
156,2816,2048
156,2816,2304
157,2816,2048
157,2816,2304
158,2816,2048
158,2816,2304
159,2816,2048
159,2816,2304
56,2304,1792
57,2304,1792
58,2304,1792
59,2304,1792
60,2304,1792
61,2304,1792
62,2304,1792
63,2304,1792
56,2560,1792
56,2816,1792
57,2560,1792
57,2816,1792
58,2560,1792
58,2816,1792
59,2560,1792
59,2816,1792
60,2560,1792
60,2816,1792
61,2560,1792
61,2816,1792
62,2560,1792
62,2816,1792
63,2560,1792
63,2816,1792
28,2560,2048
28,2816,2048
29,2560,2048
29,2816,2048
29,2816,2304
30,2560,2048
30,2816,2048
30,2816,2304
31,2560,2048
31,2816,2048
31,2816,2304
112,3072,2048
113,3072,2048
114,3072,2048
115,3072,2048
116,3072,2048
117,3072,2048
118,3072,2048
119,3072,2048
120,3072,2048
121,3072,2048
122,3072,2048
123,3072,2048
124,3072,2048
125,3072,2048
126,3072,2048
127,3072,2048
160,2816,2048
160,2816,2304
161,2816,2048
161,2816,2304
162,2816,2048
162,2816,2304
163,2816,2048
163,2816,2304
64,2304,1792
65,2304,1792
66,2304,1792
67,2304,1792
68,2304,1792
69,2304,1792
70,2304,1792
71,2304,1792
64,2816,1792
65,2816,1792
66,2816,1792
67,2816,1792
68,2816,1792
69,2816,1792
70,2816,1792
71,2816,1792
32,2560,2048
32,2816,2048
32,2816,2304
33,2560,2048
33,2816,2048
33,2816,2304
34,2560,2048
34,2816,2048
34,2816,2304
35,2560,2048
35,2816,2048
35,2816,2304
164,2816,2048
164,2816,2304
165,2816,2048
165,2816,2304
166,2816,2048
166,2816,2304
167,2816,2048
167,2816,2304
72,2304,1792
73,2304,1792
74,2304,1792
75,2304,1792
76,2304,1792
77,2304,1792
78,2304,1792
79,2304,1792
72,2816,1792
73,2816,1792
74,2816,1792
75,2816,1792
76,2816,1792
77,2816,1792
78,2816,1792
79,2816,1792
36,2560,2048
36,2816,2048
36,2816,2304
37,2560,2048
37,2816,2048
37,2816,2304
38,2560,2048
38,2816,2048
38,2816,2304
39,2560,2048
39,2816,2048
39,2816,2304
168,2816,2048
168,2816,2304
169,2816,2048
169,2816,2304
170,2816,2048
170,2816,2304
171,2816,2048
171,2816,2304
80,2304,1792
81,2304,1792
82,2304,1792
83,2304,1792
84,2304,1792
85,2304,1792
86,2304,1792
87,2304,1792
80,2816,1792
81,2816,1792
82,2816,1792
83,2816,1792
84,2816,1792
85,2816,1792
86,2816,1792
87,2816,1792
40,2560,2048
40,2816,2048
40,2816,2304
41,2560,2048
41,2816,2048
41,2816,2304
42,2560,2048
42,2816,2048
42,2816,2304
43,2560,2048
43,2816,2048
43,2816,2304
172,2816,2048
172,2816,2304
173,2816,2048
173,2816,2304
174,2816,2048
174,2816,2304
175,2816,2048
175,2816,2304
88,2304,1792
89,2304,1792
90,2304,1792
91,2304,1792
92,2304,1792
93,2304,1792
94,2304,1792
95,2304,1792
88,2816,1792
