z,y,x
2816,2560,1792
2817,2560,1792
2818,2560,1792
2819,2560,1792
2820,2560,1792
2821,2560,1792
2822,2560,1792
2823,2560,1792
2824,2560,1792
2825,2560,1792
2826,2560,1792
2827,2560,1792
2828,2560,1792
2829,2560,1792
2830,2560,1792
2831,2560,1792
2816,2816,2048
2817,2816,2048
2818,2816,2048
2819,2816,2048
2820,2816,2048
1950,2560,2048
1950,2816,2048
1950,2816,2304
1951,2560,2048
1951,2816,2048
1951,2816,2304
1952,2560,2048
1952,2816,2048
1952,2816,2304
1953,2560,2048
1953,2816,2048
1953,2816,2304
1954,2560,2048
1954,2816,2048
1954,2816,2304
1955,2560,2048
2688,2304,1792
2689,2304,1792
2690,2304,1792
2691,2304,1792
2692,2304,1792
2693,2304,1792
2694,2304,1792
2695,2304,1792
2696,2304,1792
2697,2304,1792
2698,2304,1792
2699,2304,1792
2700,2304,1792
2701,2304,1792
2702,2304,1792
2703,2304,1792
2688,2560,1792
2689,2560,1792
2690,2560,1792
2691,2560,1792
2692,2560,1792
2693,2560,1792
2694,2560,1792
2695,2560,1792
2696,2560,1792
2697,2560,1792
2698,2560,1792
2699,2560,1792
2700,2560,1792
2701,2560,1792
2702,2560,1792
2703,2560,1792
2688,2816,2048
2689,2816,2048
2690,2816,2048
2691,2816,2048
2692,2816,2048
2048,2560,2048
2048,2816,2048
2048,2816,2304
2049,2560,2048
2049,2816,2048
2049,2816,2304
2050,2560,2048
2050,2816,2048
2050,2816,2304
2051,2560,2048
2051,2816,2048
2051,2816,2304
2052,2560,2048
2052,2816,2048
2052,2816,2304
2053,2560,2048
2560,2560,2048
2560,2816,2048
2561,2560,2048
2561,2816,2048
2562,2560,2048
2562,2816,2048
2563,2560,2048
2563,2816,2048
2564,2560,2048
2564,2816,2048
2565,2560,2048
2816,2304,1792
2817,2304,1792
2818,2304,1792
2819,2304,1792
2820,2304,1792
2821,2304,1792
2822,2304,1792
2823,2304,1792
2824,2304,1792
2825,2304,1792
2826,2304,1792
2827,2304,1792
2828,2304,1792
2829,2304,1792
2830,2304,1792
2831,2304,1792
2832,2560,1792
2833,2560,1792
2834,2560,1792
2821,2816,2048
2822,2816,2048
2823,2816,2048
2824,2816,2048
2825,2816,2048
2826,2816,2048
1955,2816,2048
1955,2816,2304
1956,2560,2048
1956,2816,2048
1956,2816,2304
1957,2560,2048
1957,2816,2048
1957,2816,2304
1958,2560,2048
1958,2816,2048
1958,2816,2304
1959,2560,2048
1959,2816,2048
1959,2816,2304
1960,2560,2048
1960,2816,2048
2704,2304,1792
2705,2304,1792
2706,2304,1792
2707,2304,1792
2708,2304,1792
2709,2304,1792
2710,2304,1792
2711,2304,1792
2712,2304,1792
2713,2304,1792
2714,2304,1792
2715,2304,1792
2716,2304,1792
2717,2304,1792
2718,2304,1792
2719,2304,1792
2704,2560,1792
2705,2560,1792
2706,2560,1792
2707,2560,1792
2708,2560,1792
2709,2560,1792
2710,2560,1792
2711,2560,1792
2712,2560,1792
2713,2560,1792
2714,2560,1792
