z,y,x
0,1792,2304
1,1792,2304
2,1792,2304
3,1792,2304
4,1792,2304
5,1792,2304
6,1792,2304
7,1792,2304
0,1792,2560
1,1792,2560
2,1792,2560
3,1792,2560
4,1792,2560
5,1792,2560
6,1792,2560
7,1792,2560
0,2048,2304
1,2048,2304
2,2048,2304
3,2048,2304
4,2048,2304
5,2048,2304
6,2048,2304
7,2048,2304
8,1792,2304
9,1792,2304
10,1792,2304
11,1792,2304
8,1792,2560
9,1792,2560
10,1792,2560
11,1792,2560
12,1792,2560
13,1792,2560
14,1792,2560
15,1792,2560
8,2048,2304
9,2048,2304
10,2048,2304
11,2048,2304
12,2048,2304
13,2048,2304
14,2048,2304
15,2048,2304
16,1792,2560
17,1792,2560
18,1792,2560
19,1792,2560
20,1792,2560
21,1792,2560
22,1792,2560
23,1792,2560
16,2048,2304
17,2048,2304
18,2048,2304
19,2048,2304
20,2048,2304
21,2048,2304
22,2048,2304
23,2048,2304
24,1792,2560
25,1792,2560
26,1792,2560
27,1792,2560
28,1792,2560
29,1792,2560
30,1792,2560
31,1792,2560
24,2048,2304
25,2048,2304
26,2048,2304
27,2048,2304
28,2048,2304
29,2048,2304
30,2048,2304
31,2048,2304
32,1792,2560
33,1792,2560
34,1792,2560
35,1792,2560
36,1792,2560
37,1792,2560
38,1792,2560
39,1792,2560
32,2048,2304
33,2048,2304
34,2048,2304
35,2048,2304
36,2048,2304
37,2048,2304
38,2048,2304
39,2048,2304
40,1792,2560
41,1792,2560
42,1792,2560
43,1792,2560
44,1792,2560
45,1792,2560
46,1792,2560
47,1792,2560
40,2048,2304
41,2048,2304
42,2048,2304
43,2048,2304
44,2048,2304
45,2048,2304
46,2048,2304
47,2048,2304
48,1792,2560
49,1792,2560
50,1792,2560
51,1792,2560
52,1792,2560
53,1792,2560
54,1792,2560
55,1792,2560
48,2048,2304
49,2048,2304
50,2048,2304
51,2048,2304
52,2048,2304
53,2048,2304
54,2048,2304
55,2048,2304
56,1792,2560
57,1792,2560
58,1792,2560
59,1792,2560
60,1792,2560
61,1792,2560
62,1792,2560
63,1792,2560
56,2048,2304
57,2048,2304
58,2048,2304
59,2048,2304
60,2048,2304
61,2048,2304
62,2048,2304
63,2048,2304
120,1536,2560
120,1792,2560
121,1536,2560
121,1792,2560
122,1536,2560
122,1792,2560
123,1536,2560
123,1792,2560
64,1536,2560
64,1792,2560
65,1536,2560
65,1792,2560
66,1536,2560
66,1792,2560
67,1536,2560
67,1792,2560
68,1536,2560
68,1792,2560
69,1536,2560
69,1792,2560
70,1536,2560
70,1792,2560
71,1536,2560
71,1792,2560
64,2048,2304
65,2048,2304
66,2048,2304
67,2048,2304
68,2048,2304
69,2048,2304
70,2048,2304
71,2048,2304
124,1536,2560
124,1792,2560
125,1536,2560
125,1792,2560
126,1536,2560
126,1792,2560
127,1536,2560
127,1792,2560
128,1536,2560
128,1792,2560
129,1536,2560
129,1792,2560
130,1536,2560
130,1792,2560
131,1536,2560
131,1792,2560
72,1536,2560
72,1792,2560
73,1536,2560
73,1792,2560
74,1536,2560
74,1792,2560
75,1536,2560
75,1792,2560
76,1536,2560
76,1792,2560
77,1536,2560
77,1792,2560
78,1536,2560
78,1792,2560
79,1536,2560
79,1792,2560
72,2048,2304
73,2048,2304
74,2048,2304
75,2048,2304
76,2048,2304
77,2048,2304
78,2048,2304
79,2048,2304
132,1536,2560
132,1792,2560
133,1536,2560
133,1792,2560
134,1536,2560
134,1792,2560
135,1536,2560
135,1792,2560
136,1536,2560
136,1792,2560
137,1536,2560
137,1792,2560
138,1536,2560
138,1792,2560
139,1536,2560
139,1792,2560
80,1536,2560
80,1792,2560
81,1536,2560
81,1792,2560
82,1536,2560
82,1792,2560
83,1536,2560
83,1792,2560
84,1536,2560
84,1792,2560
85,1536,2560
85,1792,2560
86,1536,2560
86,1792,2560
87,1536,2560
87,1792,2560
80,2048,2304
81,2048,2304
82,2048,2304
83,2048,2304
84,2048,2304
85,2048,2304
86,2048,2304
87,2048,2304
140,1536,2560
140,1792,2560
141,1536,2560
141,1792,2560
142,1536,2560
142,1792,2560
143,1536,2560
143,1792,2560
144,1536,2560
144,1792,2560
145,1536,2560
145,1792,2560
146,1536,2560
146,1792,2560
147,1536,2560
147,1792,2560
88,1536,2560
88,1792,2560
89,1536,2560
89,1792,2560
90,1536,2560
90,1792,2560
91,1536,2560
91,1792,2560
92,1536,2560
92,1792,2560
93,1536,2560
93,1792,2560
94,1536,2560
94,1792,2560
95,1536,2560
95,1792,2560
88,2048,2304
89,2048,2304
90,2048,2304
91,2048,2304
92,2048,2304
93,2048,2304
94,2048,2304
95,2048,2304
148,1536,2560
148,1792,2560
149,1536,2560
149,1792,2560
150,1536,2560
150,1792,2560
151,1536,2560
151,1792,2560
152,1536,2560
152,1792,2560
153,1536,2560
153,1792,2560
154,1536,2560
154,1792,2560
155,1536,2560
155,1792,2560
96,1536,2560
96,1792,2560
97,1536,2560
97,1792,2560
98,1536,2560
98,1792,2560
99,1536,2560
99,1792,2560
100,1536,2560
100,1792,2560
101,1536,2560
101,1792,2560
102,1536,2560
102,1792,2560
103,1536,2560
103,1792,2560
156,1536,2560
156,1792,2560
157,1536,2560
157,1792,2560
158,1536,2560
158,1792,2560
159,1536,2560
159,1792,2560
160,1536,2560
160,1792,2560
161,1536,2560
161,1792,2560
162,1536,2560
162,1792,2560
163,1536,2560
104,1536,2560
104,1792,2560
105,1536,2560
105,1792,2560
106,1536,2560
106,1792,2560
107,1536,2560
107,1792,2560
108,1536,2560
108,1792,2560
109,1536,2560
109,1792,2560
110,1536,2560
110,1792,2560
111,1536,2560
111,1792,2560
164,1536,2560
165,1536,2560
166,1536,2560
167,1536,2560
168,1536,2560
169,1536,2560
170,1536,2560
171,1536,2560
112,1536,2560
112,1792,2560
113,1536,2560
113,1792,2560
114,1536,2560
114,1792,2560
115,1536,2560
115,1792,2560
116,1536,2560
116,1792,2560
117,1536,2560
117,1792,2560
118,1536,2560
118,1792,2560
119,1536,2560
119,1792,2560
172,1536,2560
173,1536,2560
174,1536,2560
175,1536,2560
176,1536,2560
120,3072,2048
120,3072,2304
121,3072,2048
121,3072,2304
122,3072,2048
122,3072,2304
123,3072,2048
123,3072,2304
124,3072,2048
124,3072,2304
125,3072,2048
125,3072,2304
126,3072,2048
126,3072,2304
127,3072,2048
127,3072,2304
128,3072,2048
128,3072,2304
129,3072,2048
129,3072,2304
130,3072,2048
130,3072,2304
131,3072,2048
75,3072,2304
76,3072,2304
131,3072,2304
132,3072,2048
132,3072,2304
133,3072,2048
133,3072,2304
134,3072,2048
134,3072,2304
135,3072,2048
135,3072,2304
136,3072,2048
136,3072,2304
77,3072,2304
78,3072,2304
79,3072,2304
80,3072,2304
81,3072,2304
82,3072,2304
137,3072,2048
137,3072,2304
138,3072,2048
138,3072,2304
139,3072,2048
139,3072,2304
140,3072,2048
140,3072,2304
141,3072,2048
141,3072,2304
83,3072,2304
84,3072,2304
85,3072,2304
86,3072,2304
87,3072,2304
142,3072,2048
142,3072,2304
143,3072,2048
143,3072,2304
144,3072,2048
144,3072,2304
145,3072,2048
145,3072,2304
146,3072,2048
146,3072,2304
147,3072,2048
88,3072,2304
89,3072,2304
90,3072,2304
91,3072,2304
92,3072,2304
147,3072,2304
148,3072,2048
148,3072,2304
149,3072,2048
149,3072,2304
150,3072,2048
150,3072,2304
151,3072,2048
151,3072,2304
152,3072,2048
152,3072,2304
93,3072,2304
94,3072,2304
95,3072,2304
96,3072,2304
97,3072,2304
98,3072,2304
153,3072,2048
153,3072,2304
154,3072,2048
154,3072,2304
155,3072,2048
155,3072,2304
156,3072,2048
156,3072,2304
157,3072,2048
157,3072,2304
99,3072,2304
100,3072,2304
101,3072,2048
101,3072,2304
102,3072,2048
102,3072,2304
103,3072,2048
103,3072,2304
158,3072,2048
158,3072,2304
159,3072,2048
159,3072,2304
160,3072,2048
160,3072,2304
161,3072,2048
161,3072,2304
162,3072,2048
162,3072,2304
163,3072,2048
104,3072,2048
104,3072,2304
105,3072,2048
105,3072,2304
106,3072,2048
106,3072,2304
107,3072,2048
107,3072,2304
108,3072,2048
108,3072,2304
109,3072,2048
163,3072,2304
164,3072,2048
164,3072,2304
165,3072,2048
165,3072,2304
166,3072,2048
166,3072,2304
167,3072,2048
167,3072,2304
168,3072,2048
168,3072,2304
109,3072,2304
110,3072,2048
110,3072,2304
111,3072,2048
111,3072,2304
112,3072,2048
112,3072,2304
113,3072,2048
113,3072,2304
114,3072,2048
114,3072,2304
169,3072,2048
169,3072,2304
170,3072,2048
170,3072,2304
171,3072,2048
171,3072,2304
172,3072,2048
172,3072,2304
173,3072,2048
173,3072,2304
115,3072,2048
115,3072,2304
116,3072,2048
116,3072,2304
117,3072,2048
117,3072,2304
118,3072,2048
118,3072,2304
119,3072,2048
119,3072,2304
174,3072,2048
174,3072,2304
175,3072,2048
175,3072,2304
176,3072,2048
176,3072,2304
