z,y,x
0,768,2048
1,768,2048
2,768,2048
3,768,2048
4,768,2048
5,768,2048
6,768,2048
7,768,2048
0,768,2560
1,768,2560
2,768,2560
3,768,2560
4,768,2560
5,768,2560
6,768,2560
7,768,2560
8,768,2560
9,768,2560
10,768,2560
11,768,2560
12,768,2560
13,768,2560
14,768,2560
15,768,2560
8,768,2048
9,768,2048
10,768,2048
11,768,2048
12,768,2048
13,768,2048
14,768,2048
16,768,2560
17,768,2560
18,768,2560
19,768,2560
20,768,2560
21,768,2560
22,768,2560
23,768,2560
24,768,2560
25,768,2560
26,768,2560
27,768,2560
28,768,2560
29,768,2560
30,768,2560
31,768,2560
32,768,2560
33,768,2560
34,768,2560
35,768,2560
36,768,2560
37,768,2560
38,768,2560
39,768,2560
40,768,2560
41,768,2560
42,768,2560
43,768,2560
44,768,2560
45,768,2560
46,768,2560
47,768,2560
48,768,2560
49,768,2560
50,768,2560
51,768,2560
52,768,2560
53,768,2560
54,768,2560
55,768,2560
56,768,2560
57,768,2560
58,768,2560
59,768,2560
60,768,2560
61,768,2560
62,768,2560
63,768,2560
64,768,2560
65,768,2560
66,768,2560
67,768,2560
68,768,2560
69,768,2560
70,768,2560
71,768,2560
72,768,2560
73,768,2560
74,768,2560
75,768,2560
76,768,2560
77,768,2560
78,768,2560
79,768,2560
80,768,2560
81,768,2560
82,768,2560
83,768,2560
84,768,2560
85,768,2560
86,768,2560
87,768,2560
88,768,2560
89,768,2560
90,768,2560
91,768,2560
92,768,2560
93,768,2560
94,768,2560
95,768,2560
51,768,2304
52,768,2304
53,768,2304
54,768,2304
55,768,2304
96,768,2560
97,768,2560
98,768,2560
99,768,2560
100,768,2560
0,3072,2048
0,3072,2304
1,3072,2048
1,3072,2304
2,3072,2048
2,3072,2304
3,3072,2048
3,3072,2304
4,3072,2048
4,3072,2304
5,3072,2048
56,768,2304
5,3072,2304
6,3072,2048
6,3072,2304
7,3072,2048
7,3072,2304
8,3072,2048
8,3072,2304
9,3072,2048
9,3072,2304
10,3072,2048
10,3072,2304
11,3072,2048
11,3072,2304
12,3072,2048
12,3072,2304
13,3072,2048
13,3072,2304
14,3072,2304
15,3072,2304
16,3072,2304
17,3072,2304
18,3072,2304
19,3072,2304
20,3072,2304
21,3072,2304
22,3072,2304
23,3072,2304
24,3072,2304
25,3072,2304
26,3072,2304
27,3072,2304
28,3072,2304
87,768,2048
29,3072,2304
30,3072,2304
31,3072,2304
32,3072,2304
33,3072,2304
34,3072,2304
35,3072,2304
36,3072,2304
88,768,2048
89,768,2048
90,768,2048
91,768,2048
92,768,2048
93,768,2048
94,768,2048
