z,y,x
0,768,2048
0,768,2304
1,768,2048
1,768,2304
2,768,2048
2,768,2304
3,768,2048
3,768,2304
4,768,2048
4,768,2304
5,768,2048
5,768,2304
6,768,2048
6,768,2304
7,768,2048
7,768,2304
8,768,2048
8,768,2304
9,768,2048
9,768,2304
10,768,2048
10,768,2304
11,768,2048
11,768,2304
12,768,2048
12,768,2304
13,768,2048
13,768,2304
14,768,2048
14,768,2304
15,768,2048
15,768,2304
16,768,2048
16,768,2304
17,768,2048
17,768,2304
18,768,2048
18,768,2304
19,768,2048
19,768,2304
20,768,2048
20,768,2304
21,768,2048
21,768,2304
22,768,2048
22,768,2304
23,768,2048
23,768,2304
24,768,2048
24,768,2304
25,768,2048
25,768,2304
26,768,2048
26,768,2304
27,768,2048
27,768,2304
28,768,2048
28,768,2304
29,768,2048
29,768,2304
30,768,2048
30,768,2304
31,768,2048
31,768,2304
14,1024,2816
15,1024,2816
32,768,2048
32,768,2304
33,768,2048
33,768,2304
34,768,2048
34,768,2304
35,768,2048
35,768,2304
36,768,2048
36,768,2304
37,768,2048
37,768,2304
38,768,2048
38,768,2304
39,768,2048
39,768,2304
16,1024,2816
17,1024,2816
18,1024,2816
19,1024,2816
40,768,2048
40,768,2304
41,768,2048
41,768,2304
42,768,2048
42,768,2304
43,768,2048
43,768,2304
44,768,2048
44,768,2304
45,768,2048
45,768,2304
46,768,2048
46,768,2304
47,768,2048
47,768,2304
20,1024,2816
21,1024,2816
22,1024,2816
23,1024,2816
48,768,2048
48,768,2304
49,768,2048
49,768,2304
50,768,2048
50,768,2304
51,768,2048
51,768,2304
52,768,2048
52,768,2304
53,768,2048
53,768,2304
54,768,2048
54,768,2304
55,768,2048
55,768,2304
24,1024,2816
25,1024,2816
26,1024,2816
27,1024,2816
56,768,2048
56,768,2304
57,768,2048
57,768,2304
58,768,2048
58,768,2304
59,768,2048
59,768,2304
60,768,2048
60,768,2304
61,768,2048
61,768,2304
62,768,2048
62,768,2304
63,768,2048
63,768,2304
28,1024,2816
29,1024,2816
30,1024,2816
31,1024,2816
64,768,2048
64,768,2304
65,768,2048
65,768,2304
66,768,2048
66,768,2304
67,768,2048
67,768,2304
68,768,2048
68,768,2304
69,768,2048
69,768,2304
70,768,2048
70,768,2304
71,768,2048
71,768,2304
32,1024,2816
33,1024,2816
34,1024,2816
35,1024,2816
72,768,2048
72,768,2304
73,768,2048
73,768,2304
74,768,2048
74,768,2304
75,768,2048
75,768,2304
76,768,2048
76,768,2304
77,768,2048
77,768,2304
78,768,2048
78,768,2304
79,768,2048
79,768,2304
36,1024,2816
37,1024,2816
38,1024,2816
39,1024,2816
80,768,2048
80,768,2304
81,768,2048
81,768,2304
82,768,2304
83,768,2304
84,768,2304
85,768,2304
86,768,2304
87,768,2304
40,1024,2816
41,1024,2816
42,1024,2816
43,1024,2816
88,768,2304
89,768,2304
90,768,2304
91,768,2304
92,768,2304
93,768,2304
94,768,2304
95,768,2304
96,768,2304
97,768,2304
98,768,2304
99,768,2304
100,768,2304
101,768,2304
102,768,2304
103,768,2304
44,1024,2816
45,1024,2816
46,1024,2816
47,1024,2816
104,768,2304
105,768,2304
106,768,2304
107,768,2304
108,768,2304
109,768,2304
110,768,2304
111,768,2304
112,768,2304
113,768,2304
114,768,2304
115,768,2304
116,768,2304
117,768,2304
118,768,2304
119,768,2304
48,1024,2816
49,1024,2816
50,1024,2816
51,1024,2816
120,768,2304
121,768,2304
122,768,2304
123,768,2304
124,768,2304
125,768,2304
126,768,2304
127,768,2304
128,768,2304
129,768,2304
130,768,2304
131,768,2304
132,768,2304
133,768,2304
134,768,2304
135,768,2304
52,1024,2816
52,1280,2816
53,1024,2816
53,1280,2816
54,1024,2816
54,1280,2816
55,1024,2816
55,1280,2816
136,768,2304
137,768,2304
138,768,2304
139,768,2304
140,768,2304
141,768,2304
142,768,2304
143,768,2304
144,768,2304
145,768,2304
146,768,2304
147,768,2304
148,768,2304
149,768,2304
150,768,2304
151,768,2304
56,1024,2816
56,1280,2816
57,1024,2816
57,1280,2816
58,1024,2816
58,1280,2816
59,1024,2816
59,1280,2816
152,768,2304
153,768,2304
154,768,2304
155,768,2304
156,768,2304
157,768,2304
158,768,2304
159,768,2304
160,768,2304
161,768,2304
162,768,2304
163,768,2304
164,768,2304
165,768,2304
166,768,2304
167,768,2304
60,1024,2816
60,1280,2816
61,1024,2816
61,1280,2816
62,1024,2816
62,1280,2816
63,1024,2816
63,1280,2816
168,768,2304
169,768,2304
170,768,2304
171,768,2304
172,768,2304
173,768,2304
174,768,2304
175,768,2304
176,768,2304
64,1024,2816
65,1024,2816
66,1024,2816
67,1024,2816
68,1024,2816
69,1024,2816
70,1024,2816
71,1024,2816
