z,y,x
0,2816,2560
1,2816,2560
2,2816,2560
3,2816,2560
4,2816,2560
5,2816,2560
6,2816,2560
7,2816,2560
128,2816,2304
129,2816,2304
130,2816,2304
131,2816,2304
132,2816,2304
133,2816,2304
134,2816,2304
135,2816,2304
136,2816,2304
137,2816,2304
138,2816,2304
139,2816,2304
140,2816,2304
141,2816,2304
142,2816,2304
143,2816,2304
0,1280,2816
1,1280,2816
2,1280,2816
3,1280,2816
0,2816,2048
0,2816,2304
1,2816,2048
1,2816,2304
2,2816,2048
2,2816,2304
3,2816,2048
3,2816,2304
4,2816,2048
4,2816,2304
8,2816,2560
9,2816,2560
10,2816,2560
11,2816,2560
12,2816,2560
13,2816,2560
14,2816,2560
15,2816,2560
17,768,2560
18,768,2560
19,768,2560
20,768,2560
21,768,2560
22,768,2560
23,768,2560
24,768,2560
25,768,2560
26,768,2560
27,768,2560
28,768,2560
29,768,2560
30,768,2560
31,768,2560
144,2816,2304
145,2816,2304
146,2816,2304
147,2816,2304
148,2816,2304
149,2816,2304
150,2816,2304
151,2816,2304
152,2816,2304
153,2816,2304
154,2816,2304
155,2816,2304
156,2816,2304
157,2816,2304
158,2816,2304
159,2816,2304
4,1280,2816
5,1280,2816
6,1280,2816
7,1280,2816
5,2816,2048
5,2816,2304
6,2816,2048
6,2816,2304
7,2816,2048
7,2816,2304
8,2816,2048
8,2816,2304
9,2816,2048
9,2816,2304
10,2816,2048
16,2816,2560
17,2816,2560
18,2816,2560
19,2816,2560
20,2816,2560
21,2816,2560
22,2816,2560
23,2816,2560
32,768,2560
33,768,2560
34,768,2560
35,768,2560
36,768,2560
37,768,2560
38,768,2560
39,768,2560
40,768,2560
41,768,2560
42,768,2560
43,768,2560
44,768,2560
45,768,2560
46,768,2560
47,768,2560
160,2816,2304
161,2816,2304
162,2816,2304
163,2816,2304
164,2816,2304
165,2816,2304
166,2816,2304
167,2816,2304
168,2816,2304
169,2816,2304
170,2816,2304
171,2816,2304
172,2816,2304
173,2816,2304
174,2816,2304
175,2816,2304
8,1280,2816
9,1280,2816
10,1280,2816
11,1280,2816
19,1536,2560
20,1536,2560
21,1536,2560
22,1536,2560
23,1536,2560
10,2816,2304
11,2816,2048
11,2816,2304
12,2816,2048
12,2816,2304
13,2816,2048
13,2816,2304
14,2816,2048
14,2816,2304
15,2816,2048
15,2816,2304
24,2816,2560
25,2816,2560
