z,y,x
0,2048,2048
0,2048,2304
1,2048,2048
1,2048,2304
2,2048,2048
2,2048,2304
3,2048,2048
3,2048,2304
0,2816,2048
0,2816,2304
1,2816,2048
1,2816,2304
2,2816,2048
2,2816,2304
3,2816,2048
3,2816,2304
4,2048,2048
4,2048,2304
5,2048,2048
5,2048,2304
6,2048,2048
6,2048,2304
7,2048,2048
7,2048,2304
4,2816,2048
4,2816,2304
5,2816,2048
5,2816,2304
6,2816,2048
6,2816,2304
7,2816,2048
7,2816,2304
8,2048,2048
8,2048,2304
9,2048,2048
9,2048,2304
10,2048,2048
10,2048,2304
11,2048,2048
11,2048,2304
8,2816,2048
8,2816,2304
9,2816,2048
9,2816,2304
10,2816,2048
10,2816,2304
11,2816,2048
11,2816,2304
12,2048,2048
12,2048,2304
13,2048,2048
13,2048,2304
14,2048,2048
14,2048,2304
15,2048,2048
15,2048,2304
12,2816,2048
12,2816,2304
13,2816,2048
13,2816,2304
14,2816,2048
14,2816,2304
15,2816,2048
15,2816,2304
16,2048,2048
16,2048,2304
17,2048,2048
17,2048,2304
17,2304,2048
18,2048,2048
18,2048,2304
18,2304,2048
19,2048,2048
19,2048,2304
19,2304,2048
16,2816,2048
16,2816,2304
17,2816,2048
17,2816,2304
18,2816,2048
18,2816,2304
19,2816,2048
19,2816,2304
20,2048,2048
20,2048,2304
20,2304,2048
21,2048,2048
21,2048,2304
21,2304,2048
22,2048,2048
22,2048,2304
22,2304,2048
23,2048,2048
23,2048,2304
23,2304,2048
20,2816,2048
20,2816,2304
21,2816,2048
21,2816,2304
22,2816,2048
22,2816,2304
23,2816,2048
23,2816,2304
24,2048,2048
24,2048,2304
24,2304,2048
25,2048,2048
25,2048,2304
25,2304,2048
26,2048,2048
26,2048,2304
26,2304,2048
27,2048,2048
27,2048,2304
27,2304,2048
24,2816,2048
24,2816,2304
25,2816,2048
25,2816,2304
26,2816,2048
26,2816,2304
27,2816,2048
27,2816,2304
28,2048,2048
28,2048,2304
28,2304,2048
29,2048,2048
29,2048,2304
29,2304,2048
30,2048,2048
30,2048,2304
30,2304,2048
31,2048,2048
31,2048,2304
31,2304,2048
28,2816,2048
28,2816,2304
29,2816,2048
29,2816,2304
30,2816,2048
30,2816,2304
31,2816,2048
31,2816,2304
32,2048,2048
32,2048,2304
32,2304,2048
33,2048,2048
33,2048,2304
33,2304,2048
34,2048,2048
34,2048,2304
34,2304,2048
35,2048,2048
35,2048,2304
35,2304,2048
32,2816,2048
32,2816,2304
33,2816,2048
33,2816,2304
34,2816,2048
34,2816,2304
35,2816,2048
35,2816,2304
151,1792,2304
152,1792,2304
153,1792,2304
154,1792,2304
155,1792,2304
156,1792,2304
157,1792,2304
36,2048,2048
36,2048,2304
36,2304,2048
37,2048,2048
37,2048,2304
38,2048,2048
38,2048,2304
39,2048,2048
39,2048,2304
36,2816,2048
36,2816,2304
37,2816,2048
37,2816,2304
38,2816,2048
38,2816,2304
39,2816,2048
39,2816,2304
40,2048,2048
40,2048,2304
41,2048,2048
41,2048,2304
42,2048,2048
42,2048,2304
43,2048,2048
