ds factor = 4, patch sixe = 256
Method: DDPS
Found 1 groups:
Dice LR-HR: 0.5338, SR-HR: 0.3903
Jaccard LR-HR: 0.3641, SR-HR: 0.2424
Dice LR-HR: 0.5424, SR-HR: 0.2859
Jaccard LR-HR: 0.3721, SR-HR: 0.1668
Dice LR-HR: 0.2161, SR-HR: 0.0414
Jaccard LR-HR: 0.1211, SR-HR: 0.0212
Dice LR-HR: 0.4666, SR-HR: 0.0956
Jaccard LR-HR: 0.3043, SR-HR: 0.0502
Dice LR-HR: 0.5437, SR-HR: 0.4237
Jaccard LR-HR: 0.3733, SR-HR: 0.2688
Dice LR-HR: 0.2054, SR-HR: 0.0468
Jaccard LR-HR: 0.1144, SR-HR: 0.0240
Dice LR-HR: 0.5514, SR-HR: 0.0631
Jaccard LR-HR: 0.3807, SR-HR: 0.0326
Dice LR-HR: 0.5469, SR-HR: 0.2420
Jaccard LR-HR: 0.3764, SR-HR: 0.1377
Dice LR-HR: 0.2535, SR-HR: 0.0694
Jaccard LR-HR: 0.1452, SR-HR: 0.0359
Dice LR-HR: 0.5192, SR-HR: 0.1006
Jaccard LR-HR: 0.3506, SR-HR: 0.0530
Dice LR-HR: 0.5457, SR-HR: 0.3363
Jaccard LR-HR: 0.3753, SR-HR: 0.2022
Dice LR-HR: 0.1862, SR-HR: 0.2240
Jaccard LR-HR: 0.1026, SR-HR: 0.1261
Dice LR-HR: 0.4668, SR-HR: 0.3795
Jaccard LR-HR: 0.3044, SR-HR: 0.2342
Dice LR-HR: 0.5594, SR-HR: 0.6370
Jaccard LR-HR: 0.3883, SR-HR: 0.4673
Dice LR-HR: 0.1192, SR-HR: 0.0475
Jaccard LR-HR: 0.0634, SR-HR: 0.0243
Dice LR-HR: 0.4928, SR-HR: 0.5418
Jaccard LR-HR: 0.3270, SR-HR: 0.3715
Dice LR-HR: 0.5828, SR-HR: 0.5251
Jaccard LR-HR: 0.4113, SR-HR: 0.3560
Dice LR-HR: 0.1391, SR-HR: 0.0263
Jaccard LR-HR: 0.0747, SR-HR: 0.0133
Dice LR-HR: 0.4524, SR-HR: 0.4486
Jaccard LR-HR: 0.2923, SR-HR: 0.2892
Dice LR-HR: 0.6204, SR-HR: 0.2188
Jaccard LR-HR: 0.4497, SR-HR: 0.1229
Dice LR-HR: 0.1378, SR-HR: 0.0383
Jaccard LR-HR: 0.0740, SR-HR: 0.0195
Dice LR-HR: 0.4257, SR-HR: 0.1990
Jaccard LR-HR: 0.2704, SR-HR: 0.1105
Dice LR-HR: 0.6482, SR-HR: 0.7027
Jaccard LR-HR: 0.4795, SR-HR: 0.5417
Dice LR-HR: 0.2589, SR-HR: 0.0680
Jaccard LR-HR: 0.1487, SR-HR: 0.0352
Dice LR-HR: 0.4770, SR-HR: 0.2583
Jaccard LR-HR: 0.3132, SR-HR: 0.1483
Dice LR-HR: 0.6787, SR-HR: 0.7163
Jaccard LR-HR: 0.5136, SR-HR: 0.5580
Dice LR-HR: 0.2129, SR-HR: 0.3751
Jaccard LR-HR: 0.1191, SR-HR: 0.2309
Dice LR-HR: 0.5150, SR-HR: 0.0590
Jaccard LR-HR: 0.3468, SR-HR: 0.0304
Dice LR-HR: 0.6795, SR-HR: 0.7134
Jaccard LR-HR: 0.5145, SR-HR: 0.5544
Dice LR-HR: 0.2156, SR-HR: 0.3658
Jaccard LR-HR: 0.1208, SR-HR: 0.2239
Dice LR-HR: 0.5079, SR-HR: 0.0482
Jaccard LR-HR: 0.3404, SR-HR: 0.0247
Dice LR-HR: 0.6648, SR-HR: 0.5890
Jaccard LR-HR: 0.4980, SR-HR: 0.4175
Dice LR-HR: 0.2591, SR-HR: 0.1302
Jaccard LR-HR: 0.1488, SR-HR: 0.0696
Dice LR-HR: 0.5438, SR-HR: 0.0689
Jaccard LR-HR: 0.3734, SR-HR: 0.0357
Dice LR-HR: 0.7057, SR-HR: 0.1684
Jaccard LR-HR: 0.5452, SR-HR: 0.0919
Dice LR-HR: 0.1031, SR-HR: 0.4123
Jaccard LR-HR: 0.0543, SR-HR: 0.2597
Dice LR-HR: 0.5940, SR-HR: 0.3765
Jaccard LR-HR: 0.4225, SR-HR: 0.2319
Dice LR-HR: 0.7003, SR-HR: 0.1504
Jaccard LR-HR: 0.5388, SR-HR: 0.0813
Dice LR-HR: 0.0978, SR-HR: 0.0971
Jaccard LR-HR: 0.0514, SR-HR: 0.0510
Dice LR-HR: 0.6851, SR-HR: 0.1599
Jaccard LR-HR: 0.5211, SR-HR: 0.0869
Dice LR-HR: 0.7022, SR-HR: 0.5473
Jaccard LR-HR: 0.5411, SR-HR: 0.3768
Dice LR-HR: 0.0000, SR-HR: 0.0797
Jaccard LR-HR: 0.0000, SR-HR: 0.0415
Dice LR-HR: 0.6501, SR-HR: 0.0312
Jaccard LR-HR: 0.4816, SR-HR: 0.0159
Dice LR-HR: 0.7105, SR-HR: 0.2936
Jaccard LR-HR: 0.5510, SR-HR: 0.1720
Dice LR-HR: 0.0000, SR-HR: 0.0000
Jaccard LR-HR: 0.0000, SR-HR: 0.0000
Dice LR-HR: 0.7233, SR-HR: 0.0522
Jaccard LR-HR: 0.5665, SR-HR: 0.0268
Dice LR-HR: 0.7232, SR-HR: 0.7177
Jaccard LR-HR: 0.5664, SR-HR: 0.5597
Dice LR-HR: 0.1616, SR-HR: 0.1647
Jaccard LR-HR: 0.0879, SR-HR: 0.0897
Dice LR-HR: 0.6953, SR-HR: 0.7006
Jaccard LR-HR: 0.5330, SR-HR: 0.5392
Dice LR-HR: 0.7401, SR-HR: 0.1792
Jaccard LR-HR: 0.5874, SR-HR: 0.0984
Dice LR-HR: 0.1209, SR-HR: 0.1138
Jaccard LR-HR: 0.0643, SR-HR: 0.0603
Dice LR-HR: 0.7210, SR-HR: 0.0213
Jaccard LR-HR: 0.5637, SR-HR: 0.0108
Dice LR-HR: 0.7594, SR-HR: 0.7659
Jaccard LR-HR: 0.6122, SR-HR: 0.6206
Dice LR-HR: 0.0000, SR-HR: 0.5386
Jaccard LR-HR: 0.0000, SR-HR: 0.3685
Dice LR-HR: 0.7636, SR-HR: 0.0318
Jaccard LR-HR: 0.6176, SR-HR: 0.0162
Dice LR-HR: 0.7557, SR-HR: 0.0940
Jaccard LR-HR: 0.6073, SR-HR: 0.0493
Total patches included: 112

--- Summary ---
Dice LR-HR: 0.4656 ± 0.2008
Dice SR-HR: 0.2666 ± 0.2129
Jaccard LR-HR: 0.3246 ± 0.1628
Jaccard SR-HR: 0.1732 ± 0.1592
