ds factor = 4, patch sixe = 256
Method: DDPS with DPS
Found 1 groups:
  - 2019_L
Dice LR-HR: 0.6482, SR-HR: 0.2594
Jaccard LR-HR: 0.4795, SR-HR: 0.1490
Dice LR-HR: 0.3001, SR-HR: 0.0391
Jaccard LR-HR: 0.1765, SR-HR: 0.0200
Dice LR-HR: 0.5562, SR-HR: 0.1076
Jaccard LR-HR: 0.3852, SR-HR: 0.0569
Dice LR-HR: 0.5906, SR-HR: 0.2806
Jaccard LR-HR: 0.4190, SR-HR: 0.1632
Dice LR-HR: 0.1576, SR-HR: 0.0382
Jaccard LR-HR: 0.0855, SR-HR: 0.0195
Dice LR-HR: 0.5622, SR-HR: 0.1065
Jaccard LR-HR: 0.3911, SR-HR: 0.0562
Dice LR-HR: 0.6167, SR-HR: 0.2569
Jaccard LR-HR: 0.4458, SR-HR: 0.1474
Dice LR-HR: 0.1897, SR-HR: 0.0371
Jaccard LR-HR: 0.1048, SR-HR: 0.0189
Dice LR-HR: 0.5278, SR-HR: 0.1109
Jaccard LR-HR: 0.3585, SR-HR: 0.0587
Dice LR-HR: 0.6008, SR-HR: 0.2682
Jaccard LR-HR: 0.4294, SR-HR: 0.1549
Dice LR-HR: 0.2194, SR-HR: 0.0475
Jaccard LR-HR: 0.1232, SR-HR: 0.0243
Dice LR-HR: 0.5709, SR-HR: 0.1014
Jaccard LR-HR: 0.3995, SR-HR: 0.0534
Dice LR-HR: 0.5793, SR-HR: 0.2768
Jaccard LR-HR: 0.4078, SR-HR: 0.1607
Dice LR-HR: 0.2196, SR-HR: 0.0456
Jaccard LR-HR: 0.1233, SR-HR: 0.0233
Dice LR-HR: 0.6468, SR-HR: 0.0870
Jaccard LR-HR: 0.4780, SR-HR: 0.0455
Dice LR-HR: 0.5810, SR-HR: 0.2723
Jaccard LR-HR: 0.4094, SR-HR: 0.1576
Dice LR-HR: 0.1721, SR-HR: 0.0599
Jaccard LR-HR: 0.0941, SR-HR: 0.0309
Dice LR-HR: 0.5868, SR-HR: 0.1103
Jaccard LR-HR: 0.4152, SR-HR: 0.0584
Dice LR-HR: 0.6007, SR-HR: 0.2656
Jaccard LR-HR: 0.4293, SR-HR: 0.1531
Dice LR-HR: 0.1619, SR-HR: 0.0522
Jaccard LR-HR: 0.0881, SR-HR: 0.0268
Dice LR-HR: 0.6008, SR-HR: 0.0984
Jaccard LR-HR: 0.4293, SR-HR: 0.0518
Dice LR-HR: 0.5614, SR-HR: 0.2639
Jaccard LR-HR: 0.3902, SR-HR: 0.1520
Dice LR-HR: 0.2132, SR-HR: 0.0550
Jaccard LR-HR: 0.1193, SR-HR: 0.0283
Dice LR-HR: 0.5639, SR-HR: 0.0981
Jaccard LR-HR: 0.3927, SR-HR: 0.0516
Dice LR-HR: 0.5777, SR-HR: 0.2640
Jaccard LR-HR: 0.4062, SR-HR: 0.1521
Dice LR-HR: 0.2648, SR-HR: 0.0531
Jaccard LR-HR: 0.1526, SR-HR: 0.0273
Dice LR-HR: 0.5170, SR-HR: 0.1089
Jaccard LR-HR: 0.3486, SR-HR: 0.0576
Dice LR-HR: 0.5919, SR-HR: 0.2629
Jaccard LR-HR: 0.4203, SR-HR: 0.1514
Dice LR-HR: 0.4194, SR-HR: 0.0469
Jaccard LR-HR: 0.2653, SR-HR: 0.0240
Dice LR-HR: 0.5461, SR-HR: 0.1038
Jaccard LR-HR: 0.3756, SR-HR: 0.0547
Dice LR-HR: 0.5954, SR-HR: 0.2570
Jaccard LR-HR: 0.4239, SR-HR: 0.1474
Dice LR-HR: 0.2739, SR-HR: 0.0540
Jaccard LR-HR: 0.1587, SR-HR: 0.0278
Dice LR-HR: 0.5018, SR-HR: 0.1182
Jaccard LR-HR: 0.3349, SR-HR: 0.0628
Dice LR-HR: 0.5594, SR-HR: 0.2572
Jaccard LR-HR: 0.3883, SR-HR: 0.1476
Dice LR-HR: 0.3947, SR-HR: 0.0498
Jaccard LR-HR: 0.2459, SR-HR: 0.0256
Dice LR-HR: 0.5585, SR-HR: 0.1036
Jaccard LR-HR: 0.3874, SR-HR: 0.0546
Dice LR-HR: 0.5864, SR-HR: 0.2465
Jaccard LR-HR: 0.4148, SR-HR: 0.1406
Dice LR-HR: 0.3910, SR-HR: 0.0358
Jaccard LR-HR: 0.2430, SR-HR: 0.0182
Dice LR-HR: 0.5760, SR-HR: 0.1027
Jaccard LR-HR: 0.4045, SR-HR: 0.0541
Dice LR-HR: 0.6167, SR-HR: 0.2326
Jaccard LR-HR: 0.4459, SR-HR: 0.1316
Dice LR-HR: 0.3634, SR-HR: 0.0414
Jaccard LR-HR: 0.2221, SR-HR: 0.0211
Dice LR-HR: 0.5345, SR-HR: 0.1033
Jaccard LR-HR: 0.3648, SR-HR: 0.0545
Dice LR-HR: 0.5884, SR-HR: 0.2506
Jaccard LR-HR: 0.4169, SR-HR: 0.1433
Dice LR-HR: 0.3380, SR-HR: 0.0375
Jaccard LR-HR: 0.2034, SR-HR: 0.0191
Dice LR-HR: 0.5985, SR-HR: 0.0920
Jaccard LR-HR: 0.4271, SR-HR: 0.0482
Dice LR-HR: 0.6032, SR-HR: 0.2535
Jaccard LR-HR: 0.4318, SR-HR: 0.1451
Dice LR-HR: 0.2541, SR-HR: 0.0390
Jaccard LR-HR: 0.1456, SR-HR: 0.0199
Dice LR-HR: 0.5796, SR-HR: 0.1021
Jaccard LR-HR: 0.4080, SR-HR: 0.0538
Dice LR-HR: 0.5630, SR-HR: 0.2807
Jaccard LR-HR: 0.3918, SR-HR: 0.1633
Dice LR-HR: 0.2429, SR-HR: 0.0410
Jaccard LR-HR: 0.1383, SR-HR: 0.0209
Dice LR-HR: 0.5100, SR-HR: 0.1088
Jaccard LR-HR: 0.3423, SR-HR: 0.0576
Dice LR-HR: 0.5598, SR-HR: 0.2697
Jaccard LR-HR: 0.3887, SR-HR: 0.1558
Dice LR-HR: 0.1874, SR-HR: 0.0419
Jaccard LR-HR: 0.1034, SR-HR: 0.0214
Dice LR-HR: 0.5402, SR-HR: 0.0877
Jaccard LR-HR: 0.3701, SR-HR: 0.0459
Dice LR-HR: 0.6090, SR-HR: 0.2361
Jaccard LR-HR: 0.4378, SR-HR: 0.1338
Dice LR-HR: 0.1982, SR-HR: 0.0602
Jaccard LR-HR: 0.1100, SR-HR: 0.0310
Dice LR-HR: 0.5338, SR-HR: 0.0857
Jaccard LR-HR: 0.3641, SR-HR: 0.0448
Dice LR-HR: 0.5424, SR-HR: 0.2715
Jaccard LR-HR: 0.3721, SR-HR: 0.1571
Dice LR-HR: 0.2161, SR-HR: 0.0431
Jaccard LR-HR: 0.1211, SR-HR: 0.0220
Dice LR-HR: 0.4666, SR-HR: 0.0955
Jaccard LR-HR: 0.3043, SR-HR: 0.0501
Dice LR-HR: 0.5437, SR-HR: 0.2677
Jaccard LR-HR: 0.3733, SR-HR: 0.1546
Dice LR-HR: 0.2054, SR-HR: 0.0452
Jaccard LR-HR: 0.1144, SR-HR: 0.0231
Dice LR-HR: 0.5514, SR-HR: 0.0774
Jaccard LR-HR: 0.3807, SR-HR: 0.0403
Dice LR-HR: 0.5469, SR-HR: 0.2551
Jaccard LR-HR: 0.3764, SR-HR: 0.1462
Dice LR-HR: 0.2535, SR-HR: 0.0453
Jaccard LR-HR: 0.1452, SR-HR: 0.0232
Dice LR-HR: 0.5192, SR-HR: 0.0818
Jaccard LR-HR: 0.3506, SR-HR: 0.0426
Dice LR-HR: 0.5457, SR-HR: 0.2704
Jaccard LR-HR: 0.3753, SR-HR: 0.1563
Dice LR-HR: 0.1862, SR-HR: 0.0457
Jaccard LR-HR: 0.1026, SR-HR: 0.0234
Dice LR-HR: 0.4668, SR-HR: 0.0955
Jaccard LR-HR: 0.3044, SR-HR: 0.0501
Dice LR-HR: 0.5594, SR-HR: 0.2455
Jaccard LR-HR: 0.3883, SR-HR: 0.1399
Dice LR-HR: 0.1192, SR-HR: 0.0478
Jaccard LR-HR: 0.0634, SR-HR: 0.0245
Dice LR-HR: 0.4928, SR-HR: 0.0821
Jaccard LR-HR: 0.3270, SR-HR: 0.0428
Dice LR-HR: 0.5828, SR-HR: 0.2366
Jaccard LR-HR: 0.4113, SR-HR: 0.1342
Dice LR-HR: 0.1391, SR-HR: 0.0437
Jaccard LR-HR: 0.0747, SR-HR: 0.0224
Dice LR-HR: 0.4524, SR-HR: 0.0792
Jaccard LR-HR: 0.2923, SR-HR: 0.0412
Dice LR-HR: 0.6204, SR-HR: 0.2171
Jaccard LR-HR: 0.4497, SR-HR: 0.1217
Dice LR-HR: 0.1378, SR-HR: 0.0472
Jaccard LR-HR: 0.0740, SR-HR: 0.0242
Dice LR-HR: 0.4257, SR-HR: 0.0823
Jaccard LR-HR: 0.2704, SR-HR: 0.0429
Dice LR-HR: 0.6482, SR-HR: 0.2035
Jaccard LR-HR: 0.4795, SR-HR: 0.1133
Dice LR-HR: 0.2589, SR-HR: 0.0381
Jaccard LR-HR: 0.1487, SR-HR: 0.0194
Dice LR-HR: 0.4770, SR-HR: 0.0802
Jaccard LR-HR: 0.3132, SR-HR: 0.0418
Dice LR-HR: 0.6787, SR-HR: 0.1704
Jaccard LR-HR: 0.5136, SR-HR: 0.0932
Dice LR-HR: 0.2129, SR-HR: 0.0412
Jaccard LR-HR: 0.1191, SR-HR: 0.0210
Dice LR-HR: 0.5150, SR-HR: 0.0901
Jaccard LR-HR: 0.3468, SR-HR: 0.0471
Dice LR-HR: 0.6795, SR-HR: 0.1639
Jaccard LR-HR: 0.5145, SR-HR: 0.0893
Dice LR-HR: 0.2156, SR-HR: 0.0309
Jaccard LR-HR: 0.1208, SR-HR: 0.0157
Dice LR-HR: 0.5079, SR-HR: 0.0752
Jaccard LR-HR: 0.3404, SR-HR: 0.0391
Dice LR-HR: 0.6648, SR-HR: 0.1586
Jaccard LR-HR: 0.4980, SR-HR: 0.0861
Dice LR-HR: 0.2591, SR-HR: 0.0401
Jaccard LR-HR: 0.1488, SR-HR: 0.0205
Dice LR-HR: 0.5438, SR-HR: 0.0591
Jaccard LR-HR: 0.3734, SR-HR: 0.0305
Dice LR-HR: 0.7057, SR-HR: 0.1529
Jaccard LR-HR: 0.5452, SR-HR: 0.0828
Dice LR-HR: 0.1031, SR-HR: 0.0301
Jaccard LR-HR: 0.0543, SR-HR: 0.0153
Dice LR-HR: 0.5940, SR-HR: 0.0527
Jaccard LR-HR: 0.4225, SR-HR: 0.0271
Dice LR-HR: 0.7003, SR-HR: 0.1497
Jaccard LR-HR: 0.5388, SR-HR: 0.0809
Dice LR-HR: 0.0978, SR-HR: 0.0256
Jaccard LR-HR: 0.0514, SR-HR: 0.0130
Dice LR-HR: 0.6851, SR-HR: 0.0416
Jaccard LR-HR: 0.5211, SR-HR: 0.0212
Dice LR-HR: 0.7022, SR-HR: 0.1447
Jaccard LR-HR: 0.5411, SR-HR: 0.0780
Dice LR-HR: 0.0000, SR-HR: 0.0081
Jaccard LR-HR: 0.0000, SR-HR: 0.0041
Dice LR-HR: 0.6501, SR-HR: 0.0506
Jaccard LR-HR: 0.4816, SR-HR: 0.0260
Dice LR-HR: 0.7105, SR-HR: 0.1431
Jaccard LR-HR: 0.5510, SR-HR: 0.0771
Dice LR-HR: 0.0000, SR-HR: 0.0078
Jaccard LR-HR: 0.0000, SR-HR: 0.0039
Dice LR-HR: 0.7233, SR-HR: 0.0481
Jaccard LR-HR: 0.5665, SR-HR: 0.0246
Dice LR-HR: 0.7232, SR-HR: 0.1407
Jaccard LR-HR: 0.5664, SR-HR: 0.0757
Dice LR-HR: 0.1616, SR-HR: 0.0152
Jaccard LR-HR: 0.0879, SR-HR: 0.0077
Dice LR-HR: 0.6953, SR-HR: 0.0504
Jaccard LR-HR: 0.5330, SR-HR: 0.0258
Dice LR-HR: 0.7401, SR-HR: 0.1313
Jaccard LR-HR: 0.5874, SR-HR: 0.0703
Dice LR-HR: 0.1209, SR-HR: 0.0213
Jaccard LR-HR: 0.0643, SR-HR: 0.0108
Dice LR-HR: 0.7210, SR-HR: 0.0518
Jaccard LR-HR: 0.5637, SR-HR: 0.0266
Dice LR-HR: 0.7594, SR-HR: 0.1281
Jaccard LR-HR: 0.6122, SR-HR: 0.0684
Dice LR-HR: 0.0000, SR-HR: 0.0230
Jaccard LR-HR: 0.0000, SR-HR: 0.0116
Dice LR-HR: 0.7636, SR-HR: 0.0542
Jaccard LR-HR: 0.6176, SR-HR: 0.0278
Dice LR-HR: 0.7557, SR-HR: 0.1306
Jaccard LR-HR: 0.6073, SR-HR: 0.0699
Total patches included: 112

--- Summary ---
Dice LR-HR: 0.4656 ± 0.2008
Dice SR-HR: 0.1178 ± 0.0857
Jaccard LR-HR: 0.3246 ± 0.1628
Jaccard SR-HR: 0.0649 ± 0.0503
